 Average                 ," NO_
AJMER "," NO2_
AJMER "," NOX_
AJMER "," NH3_
AJMER "," SO2_
AJMER "," CO_
AJMER "," O3_
AJMER "," PM10_
AJMER "," PM2.5_
AJMER "," BENZ_
AJMER "," TOLUENE_
AJMER "," ETHYBEZ_
AJMER ", MP_XYLENE_AJMER ,"OXYLENE_
AJMER "," TEMP_
AJMER "," RH_
AJMER "," WS_
AJMER "," WD_
AJMER "," BP_
AJMER "," SR_
AJMER "," RG_
AJMER "
                  , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , mg/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , degreC , % , m/s , degre----- , mmHg , W/m2 , m m 
43724.75,8.85,35.1,26.01,42.57,11.16,0.69,52.11,144.9,44.21,0,0,0,0,0,36.25,52.4,0.92,259.14999999999998,0.24,727.6,119.99
43724.791666666664,11.31,33.51,27.13,42.66,10.85,0.9,49.42,150.5,44.21,0,0,0,0,0,35.26,54.93,0.69,267.2,0.23,726.2,26.53
43724.833333333336,10.34,33.57,26.39,42.23,11.57,0.37,45.86,144.69999999999999,47.11,0,0,0,0,0,34.61,55.04,0.79,247.64,0.15,725.4,16.07
43724.875,9.7200000000000006,31.05,24.58,43.46,10.27,1.23,41.42,164.3,68.31,0,0.65,0,0.41,0,33.799999999999997,58.16,0.95,243.06,0.13,724.7,18.8
43724.916666666664,11.42,34.39,27.69,42.57,5.22,2.3199999999999998,13.91,188.8,88.46,0,0.44,0,0,0,33.090000000000003,59.77,0.85,257.86,0.23,724.3,21.71
43724.958333333336,9.16,31.33,24.29,43.55,6.46,1.87,9.6999999999999993,133.5,64.23,0,1.65,0.36,0.12,0,32.479999999999997,60.8,0.82,258.33,0.26,724.1,52.24
43725,10.99,32.380000000000003,26.29,42.4,8.27,0.65,11.08,126.3,52.12,0,0.96,0.01,0,0,31.72,62.22,1.02,252.77,0.26,723.8,50.27
43725.041666666664,12.24,32.79,27.51,42.7,11.4,0.36,8.86,133.1,50.11,0,0.2,0,0,0,31.29,62.88,0.8,247.84,0.26,723.9,44.6
43725.083333333336,9.93,30.95,24.7,43.48,7.15,0.99,7.89,120.4,58.56,0,0,0,0,0,30.9,63.62,0.74,260.98,0.37,724.1,33.18
43725.125,8.98,31.86,24.41,42.75,4.45,2.98,6.18,111,59.03,0,0,0,0,0,30.69,64.02,0.89,240.96,0.36,724.1,33.729999999999997
43725.166666666664,9.81,32.340000000000003,25.2,42.56,7.99,1.19,9.36,118.2,49.65,0,0.46,0,0,0,30.42,64.709999999999994,0.93,240.02,0.37,724.2,33.64
43725.208333333336,9.57,32.299999999999997,25.08,42.91,7.4,1.1000000000000001,11.86,109.9,45.79,0,0.47,0,0,0,30.18,65.53,0.72,251.95,0.36,724.1,33.479999999999997
43725.25,10.06,34.29,26.55,42.75,11.9,0.34,12.71,116.9,44.55,0,0,0,0,0,30.05,66.64,0.81,264.14,0.35,723.7,33.79
43725.291666666664,9.86,32.18,25.28,43.02,12.17,0.56999999999999995,8.85,107.4,43.56,0,0,0,0,0,29.92,67.77,1.02,267.62,0.28000000000000003,723.3,43.35
43725.333333333336,14.64,33.76,29.93,45.04,2.8,4.0199999999999996,9.07,116.5,59.63,0,0,0,0,0,30.1,67.83,0.92,296.89,0.39,722.8,107.54
43725.375,13.46,34.57,29.32,50.75,4.01,2.16,10.28,127.5,88.54,0,0,0,0,0,30.71,66.290000000000006,1.08,303.44,0.4,722.6,175.45
43725.416666666664,12.12,29.84,25.8,52.43,6.51,1.1599999999999999,43.51,121.8,71.94,0,0.14000000000000001,0,0,0,31.6,62.52,1.26,295.39999999999998,0.37,722.9,307.06
43725.458333333336,9.0399999999999991,24.98,20.12,40.97,7.29,0.83,58.64,83.1,57.11,0,0,0,0,0,33.229999999999997,58.51,1.2,267.63,0.38,724.1,629.44000000000005
43725.5,11.15,23.79,21.11,34.57,8.4499999999999993,1.5,47.55,128.19999999999999,39.92,0,0,0,0,0,34.270000000000003,56.16,1.3,253.86,0.39,725.3,711.08
43725.541666666664,,,,,,,,,,,,,,,35.18,53.77,1.22,251.21,0.28999999999999998,726.2,715.69
43725.583333333336,16.579999999999998,27.45,27.37,33.42,8.58,2.9,57.47,0,42.3,0,0,0,0,0,35.57,52.8,1.21,255.68,0.28000000000000003,726.9,734.86
43725.625,11.12,24.71,21.57,33.44,8.84,2.5,61.77,19.399999999999999,42.37,0,0,0,0,0,36.380000000000003,50.99,0.65,270.93,0.37,727.5,649.16999999999996
43725.666666666664,10.039999999999999,25.78,23.28,33.1,7.06,,64.28,99.3,24.51,0,0,0,0,0,36.729999999999997,49.93,0.71,266.22000000000003,0.45,727.7,508.94
43725.708333333336,7.43,33.74,27.5,25.52,10.16,0.15,63.88,143.4,27,0,0,0,0,0,36.950000000000003,49.53,0.76,245.13,0.47,727.5,324.57
43725.75,7.28,33.69,27.92,21.73,6.98,1,56.89,150.1,34.799999999999997,0,0,0,0,0,36.299999999999997,50.6,0.71,261.38,0.5,726.7,117.43
43725.791666666664,17.739999999999998,39.35,39.299999999999997,19.920000000000002,4.13,2.56,51.23,161,33.9,0,0.17,0,0,0,35.14,52.21,0.52,257.74,0.47,725.3,23.59
43725.833333333336,11.43,34.96,31.95,20.36,8.9700000000000006,1.5,45.04,166.7,33.450000000000003,0,0.63,0,0,0,34.51,53.79,0.44,249.76,0.31,724.3,12.9
43725.875,13.61,34.46,33.43,20.25,9.74,1.05,11,161.19999999999999,33.229999999999997,0,0.04,0.19,0,0,33.909999999999997,55.7,0.18,239.4,0.31,723.3,13.9
43725.916666666664,6.49,29.08,24.03,21.93,16.82,1.05,9.57,191.5,43.64,0,0,0.53,0,0,33.549999999999997,57.57,0.46,234.65,0.23,722.8,16.25
43725.958333333336,9.51,29.05,25.82,21.57,14.94,0.28000000000000003,7.53,213,71.67,0,0,0.22,0,0,33.130000000000003,58.58,0.6,252.8,0.21,722.9,16.22
43726,13.03,29.18,25.44,20.23,3.86,3.43,7.71,183,64.430000000000007,0,0.63,0,0,0,32.36,60.68,0.35,245.7,0.16,722.7,15.58
